Raw relative expression levels of 10 control genes determined in 85 different samples from 13 different tissues*										

	ACTB	B2M	GAPD	HMBS	HPRT1	RPL13A	SDHA	TBP	UBC	YWHAZ
FIB5	0.6788595	0.5999617	0.6949141	0.3344593	0.7655722	0.5821997	0.5537572	0.8022109	0.5725601	0.8519060
FIB6	0.0001598	0.0014965	0.0011456	0.0059427	0.0007649	0.0015524	0.0009345	0.0000962	0.0003768	0.0006896
FIB7	0.5744752	0.5900280	0.4877674	0.3587541	0.5128205	0.4354185	0.4383361	0.5725601	0.4183163	0.6856942
FIB8	0.1839765	0.4845208	0.1927812	0.0772178	0.1515836	0.6328872	0.1344145	0.1085513	0.1815355	0.1698080
FIB9	0.2811475	0.5861008	0.3939143	0.1380535	0.3861008	0.4780923	0.3809781	0.3278251	0.4113902	0.3423690
FIB10	0.0055034	0.0128093	0.0119020	0.0061445	0.0093898	0.0203071	0.0162363	0.0089013	0.0103101	0.0123473
FIB11	0.0081068	0.0232089	0.0168437	0.0168437	0.0137397	0.0485449	0.0424753	0.0110590	0.0225218	0.0238373
FIB12	0.0143014	0.0242386	0.0110590	0.0085517	0.0119020	0.0311365	0.0392042	0.0137397	0.0177089	0.0154431
FIB13	0.0071408	0.0146886	0.0084383	0.0074575	0.0096763	0.0173576	0.0199709	0.0060428	0.0105892	0.0142063
FIB14	0.6972384	0.4472067	0.5939816	0.4926782	0.6244902	0.5391604	0.5556093	0.5574677	0.5500713	0.7089770
FIB15	0.1966825	0.1300003	0.2839780	0.1248942	0.2181329	0.2995626	0.2088665	0.1876996	0.4457159	0.2347604
FIB16	0.4239411	0.0946625	0.5725601	0.3322331	0.5445885	0.3952318	0.3939143	0.2764925	0.4141468	0.5284659
FIB17	0.9900326	0.7209133	0.7209133	0.6328872	0.8778964	0.5249484	0.8808327	0.8350080	0.8808327	0.9834429
FIB18	0.5043297	0.5320069	0.5145358	0.4577828	0.5337864	0.5959683	0.4532199	0.5077090	0.5900280	0.4670470
FIB19	1.0000000	0.7257439	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000
FIB20	0.3160023	0.2247878	0.3992109	0.2543484	0.2839780	0.2965767	0.3835309	0.3355779	0.4412732	0.3492975
LEU1	0.0135122	0.1525993	0.0050796	0.0135574	0.0294183	0.0461733	0.1348640	0.0820012	0.0382984	0.0360643
LEU2	0.0000283	0.0056524	0.0003857	0.0012248	0.0015015	0.0012706	0.0024776	0.0023487	0.0007751	0.0011727
LEU3	0.0000067	0.0016764	0.0000927	0.0008712	0.0001025	0.0001239	0.0015628	0.0002550	0.0003409	0.0003560
LEU4	0.0049955	0.1353151	0.0042985	0.0040343	0.0076085	0.0229010	0.0599107	0.0163997	0.0229776	0.0215651
LEU5	0.0163451	0.2728241	0.0128521	0.0106246	0.0271527	0.0801068	0.0682434	0.0401313	0.0417720	0.0828268
LEU6	0.0595119	0.7042581	0.0232865	0.0058248	0.0318729	0.0915537	0.1317483	0.0772178	0.1304351	0.2040411
LEU7	0.0080798	0.1005266	0.0077624	0.0038500	0.0105892	0.0346478	0.0321938	0.0217822	0.0289312	0.0284522
LEU8	0.0020211	0.0333983	0.0024366	0.0033574	0.0039542	0.0133775	0.0288348	0.0128951	0.0078145	0.0141589
LEU9	0.0165096	0.1999938	0.0084665	0.0044593	0.0227486	0.0739375	0.0629878	0.0431904	0.0472652	0.0759393
LEU10	0.0000280	0.0067018	0.0001998	0.0006239	0.0007131	0.0011229	0.0025194	0.0013905	0.0008859	0.0016105
LEU11	0.0000135	0.0011767	0.0000664	0.0008829	0.0006095	0.0002619	0.0004761	0.0005644	0.0001393	0.0002209
LEU12	0.0434798	0.8075863	0.0296154	0.0180672	0.0443597	0.1451443	0.1436976	0.0811839	0.1261516	0.1833632
LEU13	0.0374136	0.6698526	0.0291251	0.0137397	0.0357049	0.1261516	0.0998575	0.0664446	0.1053376	0.1330747
NB1	2.1170211	0.1677080	3.0837584	4.3988747	3.8032942	1.5732038	2.8662292	1.7520254	2.8435460	3.4425244
NB2	1.0900765	0.7555855	1.6836769	2.3547029	1.4826720	1.7218444	1.3275655	1.8230018	2.3451865	1.2041072
NB3	0.6850020	0.0974108	0.8997506	2.0504313	1.2762606	2.0505898	1.9859868	3.8654372	1.5867012	1.0435763
NB4	3.3453005	0.6293857	3.0342970	0.8660038	1.9879030	1.6675960	1.3240446	0.7168420	1.5175603	1.1194591
NB5	0.9653589	0.2145520	1.7410919	0.8572948	0.7214356	1.3307134	0.9348174	1.1059685	1.4243160	0.8885550
NB6	2.2398491	0.7083071	2.1949440	3.4612936	2.5113393	1.6155176	2.6855395	2.3464285	2.3109109	1.3866767
NB7	0.3084441	0.3946070	0.7130896	0.7364570	0.5402606	1.3914716	0.8928859	0.2316775	0.8863001	0.5467067
NB8	1.2227822	1.0715193	1.1500403	1.1079514	1.4383513	0.9656216	2.0908157	1.0898983	1.8480064	1.6080641
NB9	1.1324221	0.1961246	1.5310673	0.3921783	0.8255202	0.9699615	1.6570963	1.2276422	1.6287901	0.8870523
NB10	2.4851614	2.9380847	0.8622196	3.6722153	0.7943828	1.0784583	1.5028138	1.1800058	1.3921781	2.8166792
NB11	1.4016987	0.2303115	0.6715818	1.0097027	1.2589341	0.5663534	0.5947238	2.3186884	1.5461602	0.9544202
NB12	0.4302414	0.1991648	1.7852095	0.6047330	1.1696649	5.3537753	0.9029686	1.3282718	0.7724904	0.9193589
NB13	1.4573578	0.3596135	1.9195508	1.1370722	1.0959644	1.7663281	0.7914179	1.1360043	1.1223224	2.1895818
NB14	0.2550183	0.2271472	1.4556324	1.0219498	1.1932691	1.3589226	0.9487412	1.9167442	1.1249760	1.1402454
NB15	0.4806609	0.2729985	1.3160716	1.9227897	0.6176021	2.1883807	1.6695797	0.8161324	2.2751611	1.0323065
NB16	0.8320519	0.0714139	0.7017806	0.6912789	0.5572105	0.4632814	0.6398562	2.2125108	0.8203288	0.7345354
NB17	0.9546222	1.5542303	1.1817304	1.0366463	1.9961896	0.5538762	1.1916881	1.8901519	1.3259857	1.2404207
NB18	2.9301764	0.3359123	1.9497496	1.1324456	1.7646672	2.8095250	1.0217213	1.8176451	2.5044758	1.3225645
NB19	0.4596170	0.0821477	0.5845893	1.1675538	0.4042852	0.8972687	0.2557504	0.5934465	0.6377468	0.5401953
NB20	0.4664026	0.3494381	0.7253928	0.4809015	0.5300907	0.6640005	0.3360925	0.5597758	0.3879406	0.6033058
NB21	2.0191024	1.1501304	1.0952351	1.0543365	1.0128474	0.8251183	0.7011531	0.7155029	0.9294947	0.9676935
NB22	0.4365975	0.5090182	0.7142081	0.2555555	0.3700088	0.3444774	0.3284104	0.2289992	0.6875017	0.3759078
NB23	1.0713517	1.3551275	0.7251443	1.3082590	1.1535939	0.5777455	0.6108882	1.8738905	1.1655907	1.2787378
NB24	1.0963467	0.6867775	0.7235287	0.6490946	0.5146475	0.9954583	0.4151543	0.5132872	1.0119772	0.7272727
NB25	0.5269576	0.3800264	0.5543905	1.0524314	0.6938137	1.0269223	0.4630075	0.8666385	0.4231744	0.7142499
NB26	1.1889401	0.2944041	1.5263448	1.8193700	1.6652281	0.5050527	1.1804850	1.4834249	0.6154124	0.4635612
NB27	0.8549855	0.9932183	0.5689307	0.4697431	0.6055489	0.4871507	0.4977371	0.2253643	0.2854824	1.2594540
NB28	1.3066144	0.5833482	0.6090715	0.6001063	0.7725363	0.1394184	0.7880570	0.8767780	0.5711859	0.4640621
NB29	0.6671361	0.0617969	0.4987153	0.2672582	0.4635469	0.1274838	0.2163796	0.2154161	0.1689454	0.1910844
NB30	0.1474794	2.8620174	0.2791215	0.1752692	0.2317734	0.5104775	0.1741279	0.2102507	0.1329745	0.8372151
NB31	1.6056103	0.4672618	0.6139182	0.6697785	0.4823800	0.4101180	0.4170748	0.2852446	0.9554409	1.2549462
NB32	0.8404695	1.5056490	2.7121763	1.0872675	1.4704933	1.5314325	0.9857114	0.8195760	1.1344110	1.1359880
NB33	0.9620090	0.3666246	0.8429569	0.8785230	2.7466283	0.6059547	0.7217987	1.3778213	0.5761245	0.7247683
NB34	0.6793330	0.2612720	0.4770915	0.6142585	0.7368788	1.0345171	0.3192879	0.6533268	0.3803483	0.5915352

"* BM, bone marrow; FIB, fibroblast; LEU, leukocyte; NB, neuroblastoma"										
